dataset,image,scale,method,degradation,lr_source_file,metric_border_pixels,dimension_policy,ssim_protocol,nedi_window_size,nedi_edge_threshold,nedi_scale_strategy,nedi_native_passes,nedi_edge_pixel_count,nedi_pixel_count,nedi_bilinear_fallback_count,nedi_numerical_fallback_count,nedi_dimension_adjustment,nedi_native_width,nedi_native_height,nedi_sampling_grid,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,latency_std_ms,latency_min_ms,latency_max_ms,warmup_runs,timed_runs,hr_width,hr_height,lr_width,lr_height,generated_at_utc,python_version,numpy_version,pillow_version,skimage_version,operating_system,processor,compute_instance,execution_mode,worker_count
Urban100,img_078.png,x2,nedi,prepared_bicubic_lr,img_078.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,277401,272777,288522,0,False,1024,732,even_insertion_2x_half_pixel_aligned,29.42291231314462,0.8564904198552696,28.13326733305803,0.831536066513458,42147.5638314,41670.370887,1154.7748388291054,40576.405526,44263.311132,3,10,1024,732,512,366,2026-08-30T20:30:14.862129+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_079.png,x2,nedi,prepared_bicubic_lr,img_079.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,394185,389840,199089,0,False,1024,768,even_insertion_2x_half_pixel_aligned,26.70834359392321,0.774165487622684,25.274225594686786,0.7515733924186088,46330.5056377,45675.734018,1284.173922566331,44927.820556,48023.188434,3,10,1024,768,512,384,2026-08-30T20:32:58.970146+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_080.png,x2,nedi,prepared_bicubic_lr,img_080.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,114671,113704,488343,0,False,776,1036,even_insertion_2x_half_pixel_aligned,36.35716267845124,0.9645342990732604,34.6878955929926,0.9547079075909481,38621.8190949,38255.9657895,1604.2798748311698,36462.552097,41935.149386,3,10,776,1036,388,518,2026-08-30T20:34:34.395522+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_081.png,x2,nedi,prepared_bicubic_lr,img_081.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,213697,211413,573996,0,False,1024,1024,even_insertion_2x_half_pixel_aligned,34.74530005864412,0.971371922834112,32.55298270031454,0.9403241297757204,49737.5864454,49468.567767,1362.343312717754,47802.211358,51827.210324,3,10,1024,1024,512,512,2026-08-30T20:40:18.574520+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_082.png,x2,nedi,prepared_bicubic_lr,img_082.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,235397,232257,553152,0,False,1024,1024,even_insertion_2x_half_pixel_aligned,33.91964185860332,0.9566251683999948,32.35666779198645,0.941694697456414,49475.7797341,48997.10793,1205.9804195753675,48113.436741,52183.845666,3,10,1024,1024,512,512,2026-08-30T20:41:08.082829+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_083.png,x2,nedi,prepared_bicubic_lr,img_083.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,520292,515330,254729,0,False,1004,1024,even_insertion_2x_half_pixel_aligned,23.42229858818756,0.7760184564746581,22.140367717358814,0.7639976085488104,56387.4404942,56494.7276545,934.1574016339467,54746.694598,57638.103333,3,10,1004,1024,502,512,2026-08-30T20:45:21.282676+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_084.png,x2,nedi,prepared_bicubic_lr,img_084.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,515773,510693,274716,0,False,1024,1024,even_insertion_2x_half_pixel_aligned,30.667737077978224,0.8817251093543088,28.97137411388083,0.8567941442707139,57423.4257226,56739.889481499995,1694.7160318999593,55719.179752,60910.262881,3,10,1024,1024,512,512,2026-08-30T20:47:08.442143+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_085.png,x2,nedi,prepared_bicubic_lr,img_085.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,175066,174530,343789,0,False,1024,676,even_insertion_2x_half_pixel_aligned,30.140769528809066,0.9355004399304246,28.542936783003128,0.9176439093125572,32800.7456588,32385.8030075,1049.2529361545821,31547.799818,34189.335036,3,10,1024,676,512,338,2026-08-30T20:47:24.329943+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_086.png,x2,nedi,prepared_bicubic_lr,img_086.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,187321,185454,403475,0,False,1024,768,even_insertion_2x_half_pixel_aligned,32.200378916706434,0.9248966577903862,30.760525959179738,0.9141674851438241,37555.5500521,38216.860397,1353.519777072309,34850.146738,38917.997145,3,10,1024,768,512,384,2026-08-30T20:49:11.590044+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
Urban100,img_087.png,x2,nedi,prepared_bicubic_lr,img_087.png,2,native_nedi_grid_then_full_target_size_adjustment,gaussian_11x11_sigma_1.5_population_covariance,8,8.0,native_x2,1,310255,308174,477235,0,False,1024,1024,even_insertion_2x_half_pixel_aligned,27.219686686464843,0.892848590157953,25.842590605069503,0.8730228933008158,55723.6928717,55468.782032,1258.6055537899163,54278.601015,57845.667544,3,10,1024,1024,512,512,2026-08-30T20:57:22.434690+00:00,3.12.3,2.5.2,12.3.0,0.26.0,Linux-7.0.0-1011-aws-x86_64-with-glibc2.39,x86_64,m7i.2xlarge,parallel_process_workers,4
