dataset,image,scale,method,psnr,ssim,runtime_ms
Urban100,img_034.png,x2,bicubic,22.598486621795146,0.7359742933834524,20.46231100030127
Urban100,img_035.png,x2,bicubic,25.371013966480245,0.869640613601073,21.468579001520993
Urban100,img_036.png,x2,bicubic,28.22199210870041,0.9146290320713099,21.7477649985085
Urban100,img_037.png,x2,bicubic,27.79971420526642,0.9084057157627861,25.96200699917972
Urban100,img_038.png,x2,bicubic,26.437344581429656,0.7440412403078677,22.42588499939302
Urban100,img_039.png,x2,bicubic,22.00907215656627,0.7698036178308855,24.14620499985176
Urban100,img_040.png,x2,bicubic,22.27859241092084,0.8507461864714282,17.915476000780473
Urban100,img_041.png,x2,bicubic,24.18357753691007,0.8795870806807997,18.507165999835706
Urban100,img_042.png,x2,bicubic,28.147177110099136,0.9165490396342952,20.594277999407495
Urban100,img_043.png,x2,bicubic,25.162434345607206,0.891350699414768,20.828157999858377
Urban100,img_044.png,x2,bicubic,33.07922034149677,0.9441457884463018,14.202182999724755
Urban100,img_045.png,x2,bicubic,23.91424951688947,0.8247454208039718,15.263897999830078
Urban100,img_046.png,x2,bicubic,24.031036868024678,0.8468953992431195,12.357115001577768
Urban100,img_047.png,x2,bicubic,21.512075105401465,0.8358523929287228,11.068192001403077
Urban100,img_048.png,x2,bicubic,20.39580637819507,0.8655950452019764,12.348577000011574
Urban100,img_049.png,x2,bicubic,22.714037201896545,0.8127598391529031,12.184581999463262
Urban100,img_050.png,x2,bicubic,25.69767506826464,0.8468272536270899,12.079119000190985
Urban100,img_051.png,x2,bicubic,27.793960849171356,0.9054828726721255,13.214077000156976
Urban100,img_052.png,x2,bicubic,26.359868319614137,0.8791896315958362,12.263660000826349
Urban100,img_053.png,x2,bicubic,22.3882505118886,0.8245496982506627,11.770338000133052
Urban100,img_054.png,x2,bicubic,21.191200325836093,0.757268227622453,12.108513001294341
Urban100,img_055.png,x2,bicubic,28.904186293264658,0.910386667244608,13.899235000280896
Urban100,img_056.png,x2,bicubic,24.720610110541365,0.842654428110157,14.080983999519958
Urban100,img_057.png,x2,bicubic,29.089452557826135,0.9073377936206835,13.313694998942083
Urban100,img_058.png,x2,bicubic,25.795505630465417,0.9060702980301789,12.501675999374129
Urban100,img_059.png,x2,bicubic,21.470635237769716,0.7960112329582364,12.148249999881955
Urban100,img_060.png,x2,bicubic,22.281952488749166,0.6961259681132047,12.353181000435143
Urban100,img_061.png,x2,bicubic,25.029407726223624,0.8451845638075396,12.103828001272632
Urban100,img_062.png,x2,bicubic,22.092006114880995,0.8572019022138012,12.208221000037156
Urban100,img_063.png,x2,bicubic,21.109640876213707,0.6496588726066261,17.766806999134133
