dataset,scale,method,image_count,psnr_y,ssim_y,psnr_rgb,ssim_rgb,latency_mean_ms,latency_median_ms,timing_device,timing_context,parameter_count,peak_gpu_memory_mean_mb,peak_gpu_memory_max_mb,psnr_y_rank,ssim_y_rank,psnr_rgb_rank,ssim_rgb_rank,psnr_y_vs_bicubic_db,ssim_y_vs_bicubic
BSD100,x4,bicubic,100,25.956437011248354,0.6675044797967447,24.63010838721472,0.6391481878905022,2.662921933,2.62190036,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
BSD100,x4,nedi,100,25.53212418457145,0.6447946878887423,24.121113797737156,0.6107356634122671,8228.223882581,8216.42713374,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.4243128266769034,-0.022709791908002375
BSD100,x4,fsrcnn,100,26.8767309559971,0.7090180446871949,25.516986075140977,0.6821021095706578,0.8706977915763855,0.8442856022715568,gpu,GPU; NVIDIA Tesla T4,12809,6.83251953125,6.83251953125,2,2,2,2,0.9202939447487459,0.041513564890450216
BSD100,x4,imdn,100,27.536978755535973,0.7341115355072635,26.191430794722816,0.7095440202090324,6.369302112579346,6.269526400566101,gpu,GPU; NVIDIA Tesla T4,715176,41.2427880859375,52.0712890625,1,1,1,1,1.5805417442876184,0.06660705571051884
Urban100,x2,bicubic,100,26.875821276089876,0.8404642480834588,25.44157257601937,0.8271261572710591,17.184672448,16.498145155,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,4,3,4,3,0.0,0.0
Urban100,x2,nedi,100,26.91847743625579,0.8370461141228952,25.44503149648274,0.8208578792770811,42602.275068386,42366.31400691,cpu,CPU; AWS m7i.2xlarge,,,,3,4,3,4,0.042656160165915225,-0.003418133960563563
Urban100,x2,fsrcnn,100,29.808132390093586,0.9011161458106627,28.189612418213756,0.8881733844351831,7.108648042201996,7.117463698387146,gpu,GPU; NVIDIA Tesla T4,12809,127.9079833984375,203.9169921875,2,2,2,2,2.93231111400371,0.06065189772720392
Urban100,x2,imdn,100,32.175697041136594,0.9283043152590759,30.543747069511653,0.9189258192978257,99.85789886474609,99.8245987701416,gpu,GPU; NVIDIA Tesla T4,694404,675.473447265625,1070.2509765625,1,1,1,1,5.299875765046718,0.0878400671756171
Urban100,x3,bicubic,100,24.448205161764673,0.7346394343003105,23.016381610309786,0.7137249041249838,14.950274893,14.53498602,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Urban100,x3,nedi,100,24.38164686373083,0.7286137297380254,22.929113313940444,0.7047846500552919,17026.016969073,17025.033802625,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.0665582980338435,-0.006025704562285128
Urban100,x3,fsrcnn,100,25.976210696339425,0.7914844479678864,24.45649237349644,0.7696205624314941,4.048845149517059,4.043037275075912,gpu,GPU; NVIDIA Tesla T4,12809,58.7962451171875,95.2578125,2,2,2,2,1.5280055345747527,0.05684501366757588
Urban100,x3,imdn,100,28.02228722859082,0.8490965593106979,26.4782246673056,0.8323945107107209,48.22499123764038,48.182236328125,gpu,GPU; NVIDIA Tesla T4,703059,383.0187939453125,484.55126953125,1,1,1,1,3.574082066826147,0.1144571250103874
Urban100,x4,bicubic,100,23.14011483326603,0.6580467654831712,21.70627352129424,0.6317764587762305,13.852849519,13.561452955,cpu,CPU; Google Colab default CPU (exact model not recorded),,,,3,3,3,3,0.0,0.0
Urban100,x4,nedi,100,22.983716485681462,0.6506060562957264,21.506456332247513,0.6187341196792452,46718.546898981,46671.799685555,cpu,CPU; AWS m7i.2xlarge,,,,4,4,4,4,-0.15639834758456672,-0.007440709187444772
Urban100,x4,fsrcnn,100,24.458168320137045,0.7190450873583931,22.945727056174377,0.6900738269718377,2.344308670401573,2.336780160665512,gpu,GPU; NVIDIA Tesla T4,12809,34.395078125,54.2568359375,2,2,2,2,1.3180534868710154,0.06099832187522192
Urban100,x4,imdn,100,26.043091264272515,0.7837825225968309,24.531715609242926,0.7624779739435193,26.04704104042053,25.924469966888427,gpu,GPU; NVIDIA Tesla T4,715176,179.72556640625,393.18408203125,1,1,1,1,2.9029764310064863,0.1257357571136597
